# joint_log_example.csv -- reference format for actuator_eval envelopes
# robot=arm-004 joint=elbow fw=rs-fw-1.4.2 rate=1000Hz captured=2026-07-28T09:14:00Z
# units: t_s=s  q_rad=rad  qd_rad_s=rad/s  tau_Nm=N.m  (all joint-referred)
t_s,q_rad,qd_rad_s,tau_Nm
0.0850,-0.291893,1.32418,-1.11367
0.0860,-0.290553,1.33950,-1.28518
0.0870,-0.289198,1.35481,-1.39390
0.0880,-0.287828,1.37011,-1.03352
0.0890,-0.286443,1.38539,-1.20057
0.0900,-0.285042,1.40067,-1.21735
0.0910,-0.283626,1.41594,-1.26078
0.0920,-0.282195,1.43120,-1.30136
0.0930,-0.280748,1.44645,-1.23128
0.0940,-0.279287,1.46169,-1.31992
0.0950,-0.277810,1.47692,-1.10410
0.0960,-0.276318,1.49214,-1.27829
0.0970,-0.274810,1.50735,-1.20175
0.0980,-0.273288,1.52255,-1.44430
0.0990,-0.271750,1.53774,-1.21402
0.1000,-0.270197,1.55291,-1.41220
0.1010,-0.268629,1.56808,-1.40093
0.1020,-0.267046,1.58324,-1.20675
0.1030,-0.265447,1.59838,-1.28194
0.1040,-0.263834,1.61352,-1.24169
0.1050,-0.262205,1.62864,-1.29285
0.1060,-0.260562,1.64376,-1.35438
0.1070,-0.258903,1.65886,-1.40907
0.1080,-0.257229,1.67395,-1.33845
0.1090,-0.255540,1.68903,-1.32194
0.1100,-0.253836,1.70409,-1.27004
0.1110,-0.252116,1.71915,-1.29027
0.1120,-0.250382,1.73419,-1.33864
0.1130,-0.248633,1.74922,-1.28340
0.1140,-0.246869,1.76424,-1.31761
0.1150,-0.245090,1.77925,-1.49956
0.1160,-0.243295,1.79424,-1.33292
0.1170,-0.241486,1.80923,-1.26839
0.1180,-0.239662,1.82420,-1.38336
0.1190,-0.237823,1.83916,-1.35407
0.1200,-0.235969,1.85410,-1.28273
0.1210,-0.234100,1.86903,-1.43960
0.1220,-0.232216,1.88395,-1.25579
0.1230,-0.230317,1.89886,-1.36074
0.1240,-0.228403,1.91376,-1.32885
0.1250,-0.226474,1.92864,-1.39087
0.1260,-0.224531,1.94350,-1.31083
0.1270,-0.222573,1.95836,-1.32283
0.1280,-0.220599,1.97320,-1.29231
0.1290,-0.218611,1.98803,-1.44600
0.1300,-0.216608,2.00284,-1.38651
0.1310,-0.214591,2.01764,-1.41177
0.1320,-0.212558,2.03243,-1.41664
0.1330,-0.210511,2.04720,-1.30551
0.1340,-0.208449,2.06196,-1.30449
0.1350,-0.206373,2.07670,-1.43056
0.1360,-0.204281,2.09143,-1.30069
0.1370,-0.202175,2.10615,-1.51902
0.1380,-0.200054,2.12085,-1.40988
0.1390,-0.197919,2.13554,-1.36564
0.1400,-0.195768,2.15021,-1.38609
0.1410,-0.193604,2.16486,-1.54757
0.1420,-0.191424,2.17951,-1.22273
0.1430,-0.189230,2.19413,-1.37533
0.1440,-0.187021,2.20875,-1.48364
0.1450,-0.184798,2.22334,-1.45657
0.1460,-0.182560,2.23793,-1.40752
0.1470,-0.180307,2.25249,-1.40859
0.1480,-0.178040,2.26704,-1.22796
0.1490,-0.175759,2.28158,-1.59866
0.1500,-0.173463,2.29610,-1.44570
0.1510,-0.171152,2.31060,-1.39919
0.1520,-0.168827,2.32509,-1.53995
0.1530,-0.166487,2.33957,-1.46688
0.1540,-0.164133,2.35402,-1.34004
0.1550,-0.161765,2.36846,-1.49614
0.1560,-0.159382,2.38289,-1.44780
0.1570,-0.156985,2.39730,-1.54306
0.1580,-0.154573,2.41169,-1.37653
0.1590,-0.152147,2.42606,-1.58790
0.1600,-0.149707,2.44042,-1.51081
0.1610,-0.147252,2.45476,-1.53065
0.1620,-0.144783,2.46909,-1.43129
0.1630,-0.142299,2.48339,-1.35849
0.1640,-0.139802,2.49768,-1.65353
0.1650,-0.137290,2.51196,-1.48255
0.1660,-0.134763,2.52621,-1.53061
0.1670,-0.132223,2.54045,-1.56161
0.1680,-0.129668,2.55468,-1.49193
0.1690,-0.127099,2.56888,-1.50968
0.1700,-0.124516,2.58307,-1.48912
0.1710,-0.121919,2.59724,-1.50302
0.1720,-0.119308,2.61139,-1.55444
0.1730,-0.116682,2.62552,-1.55783
0.1740,-0.114043,2.63964,-1.41064
0.1750,-0.111389,2.65373,-1.60300
0.1760,-0.108721,2.66781,-1.65581
0.1770,-0.106039,2.68187,-1.56514
0.1780,-0.103343,2.69591,-1.46932
0.1790,-0.100633,2.70994,-1.44360
0.1800,-0.097909,2.72394,-1.70162
0.1810,-0.095171,2.73793,-1.72818
0.1820,-0.092420,2.75190,-1.59029
0.1830,-0.089654,2.76585,-1.56079
0.1840,-0.086874,2.77978,-1.69641
0.1850,-0.084080,2.79369,-1.56274
0.1860,-0.081273,2.80758,-1.58422
0.1870,-0.078451,2.82145,-1.62477
0.1880,-0.075616,2.83530,-1.57548
0.1890,-0.072767,2.84914,-1.56681
0.1900,-0.069904,2.86295,-1.55033
0.1910,-0.067027,2.87675,-1.64136
0.1920,-0.064137,2.89052,-1.66799
0.1930,-0.061232,2.90428,-1.71732
0.1940,-0.058314,2.91801,-1.70088
0.1950,-0.055383,2.93173,-1.63923
0.1960,-0.052437,2.94542,-1.68400
0.1970,-0.049478,2.95910,-1.62773
0.1980,-0.046505,2.97275,-1.79680
0.1990,-0.043519,2.98639,-1.62538
0.2000,-0.040519,3.00000,-1.73433
0.2010,-0.037505,3.01359,-1.63363
0.2020,-0.034478,3.02717,-1.70383
0.2030,-0.031437,3.04072,-1.72717
0.2040,-0.028383,3.05425,-1.73815
0.2050,-0.025315,3.06776,-1.60312
0.2060,-0.022234,3.08125,-1.71350
0.2070,-0.019139,3.09472,-1.60250
0.2080,-0.016031,3.10816,-1.71230
0.2090,-0.012910,3.12159,-1.64790
0.2100,-0.009775,3.13499,-1.66234
0.2110,-0.006626,3.14837,-1.72043
0.2120,-0.003465,3.16173,-1.74715
0.2130,-0.000289,3.17507,-1.75564
0.2140,0.002899,3.18839,-1.66305
0.2150,0.006101,3.20169,-1.79790
0.2160,0.009316,3.21496,-1.70175
0.2170,0.012544,3.22821,-1.73205
0.2180,0.015785,3.24144,-1.85910
0.2190,0.019040,3.25465,-1.81079
0.2200,0.022308,3.26783,-1.68104
0.2210,0.025589,3.28100,-1.73497
0.2220,0.028883,3.29414,-1.74687
0.2230,0.032190,3.30725,-1.62649
0.2240,0.035510,3.32035,-1.78659
0.2250,0.038844,3.33342,-1.76369
0.2260,0.042190,3.34647,-1.70722
0.2270,0.045550,3.35950,-1.78905
0.2280,0.048922,3.37250,-1.87656
0.2290,0.052308,3.38548,-1.77698
0.2300,0.055706,3.39844,-1.76898
0.2310,0.059118,3.41137,-1.79367
0.2320,0.062542,3.42428,-1.55275
0.2330,0.065979,3.43717,-1.90578
0.2340,0.069429,3.45003,-1.62122
0.2350,0.072892,3.46287,-1.65736
0.2360,0.076368,3.47569,-1.83642
0.2370,0.079856,3.48848,-1.78982
0.2380,0.083357,3.50125,-1.95476
0.2390,0.086871,3.51399,-1.74398
0.2400,0.090398,3.52671,-1.94893
0.2410,0.093937,3.53941,-1.73767
0.2420,0.097490,3.55208,-1.88955
0.2430,0.101054,3.56473,-1.71009
0.2440,0.104632,3.57735,-1.90254
0.2450,0.108222,3.58995,-1.81163
0.2460,0.111824,3.60252,-1.58611
0.2470,0.115439,3.61507,-1.63727
0.2480,0.119067,3.62759,-1.99104
0.2490,0.122707,3.64009,-1.75152
0.2500,0.126359,3.65257,-1.75573
0.2510,0.130024,3.66502,-1.73689
0.2520,0.133702,3.67744,-1.96292
0.2530,0.137392,3.68984,-1.63524
0.2540,0.141094,3.70222,-1.86162
0.2550,0.144809,3.71456,-1.84361
0.2560,0.148535,3.72689,-1.95281
0.2570,0.152275,3.73918,-1.76464
0.2580,0.156026,3.75146,-1.87478
0.2590,0.159790,3.76370,-1.71565
0.2600,0.163566,3.77592,-1.89228
0.2610,0.167354,3.78812,-1.65742
0.2620,0.171154,3.80029,-1.91920
0.2630,0.174966,3.81243,-1.85223
0.2640,0.178791,3.82454,-2.04971
0.2650,0.182628,3.83663,-1.75730
0.2660,0.186476,3.84870,-1.74667
0.2670,0.190337,3.86074,-1.82545
0.2680,0.194210,3.87275,-1.94392
0.2690,0.198095,3.88473,-1.67934
0.2700,0.201991,3.89669,-1.77118
0.2710,0.205900,3.90862,-1.82310
0.2720,0.209820,3.92052,-1.74776
0.2730,0.213753,3.93240,-1.97844
0.2740,0.217697,3.94425,-1.64534
0.2750,0.221653,3.95607,-2.02132
0.2760,0.225621,3.96787,-1.89648
0.2770,0.229601,3.97964,-1.80842
0.2780,0.233592,3.99138,-1.81975
0.2790,0.237595,4.00310,-1.87888
0.2800,0.241610,4.01478,-1.71224
0.2810,0.245636,4.02644,-1.94664
0.2820,0.249674,4.03808,-1.87288
0.2830,0.253724,4.04968,-1.74229
0.2840,0.257785,4.06126,-1.78880
0.2850,0.261858,4.07280,-1.89912
0.2860,0.265942,4.08433,-1.74004
0.2870,0.270038,4.09582,-2.05533
0.2880,0.274146,4.10728,-1.98381
0.2890,0.278264,4.11872,-1.79748
0.2900,0.282394,4.13013,-1.90868
0.2910,0.286536,4.14151,-2.00651
0.2920,0.290689,4.15286,-1.66449
0.2930,0.294853,4.16418,-1.84375
0.2940,0.299028,4.17548,-1.71711
0.2950,0.303215,4.18674,-1.89856
0.2960,0.307413,4.19798,-1.87458
0.2970,0.311622,4.20919,-1.91923
0.2980,0.315843,4.22037,-1.74137
0.2990,0.320074,4.23152,-1.88630
0.3000,0.324317,4.24264,-1.59352
0.3010,0.328571,4.25373,-1.86414
0.3020,0.332835,4.26480,-1.79977
0.3030,0.337111,4.27583,-1.90776
0.3040,0.341398,4.28684,-1.78980
0.3050,0.345696,4.29781,-1.79545
0.3060,0.350005,4.30876,-1.79094
0.3070,0.354324,4.31967,-1.98458
0.3080,0.358655,4.33056,-1.80892
0.3090,0.362996,4.34142,-1.91597
0.3100,0.367349,4.35225,-1.73162
0.3110,0.371712,4.36304,-1.87601
0.3120,0.376085,4.37381,-1.84773
0.3130,0.380470,4.38455,-1.83589
0.3140,0.384865,4.39526,-1.81761
0.3150,0.389271,4.40594,-1.82893
0.3160,0.393688,4.41658,-2.04377
0.3170,0.398115,4.42720,-1.85832
0.3180,0.402553,4.43779,-1.73111
0.3190,0.407001,4.44834,-1.81477
0.3200,0.411460,4.45887,-1.84911
0.3210,0.415929,4.46936,-1.86046
0.3220,0.420409,4.47983,-1.95624
0.3230,0.424899,4.49026,-1.80688
0.3240,0.429400,4.50067,-1.78501
0.3250,0.433911,4.51104,-1.87915
0.3260,0.438432,4.52138,-1.86764
0.3270,0.442964,4.53169,-1.96702
0.3280,0.447506,4.54197,-1.75865
0.3290,0.452058,4.55222,-1.79489
0.3300,0.456621,4.56244,-1.76954
0.3310,0.461193,4.57262,-1.76906
0.3320,0.465776,4.58278,-1.76389
0.3330,0.470369,4.59290,-1.77946
0.3340,0.474972,4.60299,-1.80445
0.3350,0.479585,4.61305,-1.92481
0.3360,0.484208,4.62308,-1.72141
0.3370,0.488841,4.63308,-1.57990
0.3380,0.493484,4.64304,-1.98138
0.3390,0.498137,4.65297,-1.60221
0.3400,0.502800,4.66288,-1.72661
0.3410,0.507473,4.67275,-1.69813
0.3420,0.512156,4.68258,-1.75824
0.3430,0.516848,4.69239,-1.65609
0.3440,0.521550,4.70216,-1.84493
0.3450,0.526262,4.71190,-1.72744
0.3460,0.530984,4.72161,-1.60848
0.3470,0.535715,4.73129,-1.64580
0.3480,0.540456,4.74093,-1.72043
0.3490,0.545206,4.75054,-1.68487
0.3500,0.549966,4.76012,-1.69489
0.3510,0.554736,4.76967,-1.72259
0.3520,0.559515,4.77918,-1.77896
0.3530,0.564304,4.78866,-1.49905
0.3540,0.569102,4.79811,-1.67659
0.3550,0.573910,4.80752,-1.47619
0.3560,0.578726,4.81690,-1.59097
0.3570,0.583553,4.82625,-1.62760
0.3580,0.588388,4.83557,-1.69136
0.3590,0.593233,4.84485,-1.55495
0.3600,0.598087,4.85410,-1.63265
0.3610,0.602951,4.86332,-1.60012
0.3620,0.607823,4.87250,-1.52645
0.3630,0.612705,4.88165,-1.64388
0.3640,0.617596,4.89077,-1.58584
0.3650,0.622495,4.89985,-1.42964
0.3660,0.627404,4.90890,-1.62448
0.3670,0.632322,4.91791,-1.66882
0.3680,0.637249,4.92690,-1.44925
0.3690,0.642185,4.93584,-1.49393
0.3700,0.647130,4.94476,-1.50843
0.3710,0.652083,4.95364,-1.53099
0.3720,0.657046,4.96248,-1.56860
0.3730,0.662017,4.97130,-1.55935
0.3740,0.666997,4.98007,-1.56195
0.3750,0.671986,4.98882,-1.56446
0.3760,0.676984,4.99753,-1.50904
0.3770,0.681990,5.00620,-1.53171
0.3780,0.687005,5.01484,-1.52422
0.3790,0.692028,5.02345,-1.50328
0.3800,0.697060,5.03202,-1.39079
0.3810,0.702101,5.04056,-1.63722
0.3820,0.707150,5.04906,-1.50339
0.3830,0.712207,5.05753,-1.43120
0.3840,0.717273,5.06597,-1.54871
0.3850,0.722348,5.07437,-1.57170
0.3860,0.727430,5.08273,-1.26170
0.3870,0.732521,5.09106,-1.46006
0.3880,0.737621,5.09936,-1.43132
0.3890,0.742728,5.10762,-1.47539
0.3900,0.747844,5.11584,-1.39785
0.3910,0.752968,5.12403,-1.33613
0.3920,0.758100,5.13219,-1.53803
0.3930,0.763241,5.14031,-1.27106
0.3940,0.768389,5.14839,-1.37889
0.3950,0.773545,5.15644,-1.50176
0.3960,0.778710,5.16445,-1.39308
0.3970,0.783882,5.17243,-1.40166
0.3980,0.789063,5.18037,-1.45861
0.3990,0.794251,5.18828,-1.31662
0.4000,0.799447,5.19615,-1.34028
0.4010,0.804651,5.20399,-1.31531
0.4020,0.809863,5.21179,-1.21264
0.4030,0.815082,5.21955,-1.26879
0.4040,0.820310,5.22728,-1.26510
0.4050,0.825545,5.23498,-1.07995
0.4060,0.830787,5.24263,-1.16903
0.4070,0.836038,5.25025,-1.16592
0.4080,0.841295,5.25784,-1.20901
0.4090,0.846561,5.26539,-1.06632
0.4100,0.851834,5.27290,-1.03855
0.4110,0.857114,5.28038,-1.06626
0.4120,0.862402,5.28782,-1.24616
0.4130,0.867697,5.29523,-1.33538
0.4140,0.873000,5.30259,-1.16172
0.4150,0.878310,5.30993,-1.13884
0.4160,0.883627,5.31722,-1.16138
0.4170,0.888951,5.32448,-1.20618
0.4180,0.894283,5.33170,-1.06847
0.4190,0.899622,5.33889,-1.14763
0.4200,0.904968,5.34604,-1.21541
0.4210,0.910321,5.35315,-1.20336
0.4220,0.915681,5.36023,-1.15281
0.4230,0.921049,5.36727,-1.19306
0.4240,0.926423,5.37427,-1.15192
0.4250,0.931804,5.38124,-1.04450
0.4260,0.937192,5.38817,-0.96734
0.4270,0.942587,5.39506,-0.94893
0.4280,0.947989,5.40191,-1.02332
0.4290,0.953398,5.40873,-1.00840
0.4300,0.958814,5.41551,-0.89762
0.4310,0.964236,5.42226,-0.94850
0.4320,0.969665,5.42896,-0.89582
0.4330,0.975100,5.43563,-0.84461
0.4340,0.980543,5.44226,-0.92487
0.4350,0.985992,5.44886,-0.87605
0.4360,0.991447,5.45542,-0.64176
0.4370,0.996909,5.46194,-0.96869
0.4380,1.002377,5.46842,-0.79878
0.4390,1.007852,5.47486,-0.99673
0.4400,1.013333,5.48127,-0.84631
0.4410,1.018821,5.48764,-0.90179
0.4420,1.024315,5.49398,-0.79094
0.4430,1.029815,5.50027,-0.86386
0.4440,1.035322,5.50653,-0.66510
0.4450,1.040835,5.51275,-0.67280
0.4460,1.046354,5.51893,-0.82355
0.4470,1.051879,5.52507,-0.64307
0.4480,1.057410,5.53118,-0.74597
0.4490,1.062947,5.53725,-0.71144
0.4500,1.068490,5.54328,-0.55084
0.4510,1.074040,5.54927,-0.76430
0.4520,1.079595,5.55522,-0.70489
0.4530,1.085156,5.56114,-0.55498
0.4540,1.090723,5.56702,-0.72949
0.4550,1.096296,5.57286,-0.61689
0.4560,1.101875,5.57866,-0.59537
0.4570,1.107459,5.58442,-0.76848
0.4580,1.113049,5.59015,-0.56852
0.4590,1.118645,5.59583,-0.56473
0.4600,1.124246,5.60148,-0.47558
0.4610,1.129853,5.60709,-0.72703
0.4620,1.135466,5.61266,-0.52242
0.4630,1.141084,5.61820,-0.54489
0.4640,1.146708,5.62369,-0.52092
0.4650,1.152337,5.62915,-0.49267
0.4660,1.157972,5.63457,-0.43333
0.4670,1.163612,5.63994,-0.44008
0.4680,1.169257,5.64528,-0.47412
0.4690,1.174908,5.65059,-0.41336
0.4700,1.180563,5.65585,-0.51091
0.4710,1.186224,5.66107,-0.21233
0.4720,1.191891,5.66626,-0.40550
0.4730,1.197562,5.67140,-0.40905
0.4740,1.203239,5.67651,-0.43721
0.4750,1.208920,5.68158,-0.20094
0.4760,1.214607,5.68661,-0.27726
0.4770,1.220298,5.69160,-0.43628
0.4780,1.225995,5.69655,-0.24366
0.4790,1.231696,5.70147,-0.28818
0.4800,1.237403,5.70634,-0.25101
0.4810,1.243114,5.71117,-0.20731
0.4820,1.248830,5.71597,-0.26421
0.4830,1.254551,5.72073,-0.07510
0.4840,1.260276,5.72544,-0.11196
0.4850,1.266006,5.73012,-0.03676
0.4860,1.271741,5.73476,-0.12848
0.4870,1.277480,5.73936,-0.19901
0.4880,1.283224,5.74392,0.08862
0.4890,1.288973,5.74844,-0.12374
0.4900,1.294726,5.75292,-0.21885
0.4910,1.300483,5.75736,-0.06262
0.4920,1.306245,5.76176,-0.10414
0.4930,1.312011,5.76612,0.09520
0.4940,1.317781,5.77045,-0.00439
0.4950,1.323556,5.77473,0.06529
0.4960,1.329335,5.77898,-0.03287
0.4970,1.335118,5.78318,-0.01473
0.4980,1.340906,5.78734,0.08972
0.4990,1.346697,5.79147,-0.02149
0.5000,1.352493,5.79555,0.19829
0.5010,1.358292,5.79960,0.15541
0.5020,1.364096,5.80361,-0.04468
0.5030,1.369903,5.80757,0.18226
0.5040,1.375715,5.81150,0.15635
0.5050,1.381530,5.81539,0.08482
0.5060,1.387349,5.81923,0.14760
0.5070,1.393173,5.82304,0.13767
0.5080,1.398999,5.82681,0.13125
0.5090,1.404830,5.83053,0.16043
0.5100,1.410664,5.83422,0.27912
0.5110,1.416502,5.83787,0.28682
0.5120,1.422343,5.84147,0.40989
0.5130,1.428188,5.84504,0.42694
0.5140,1.434037,5.84857,0.21464
0.5150,1.439889,5.85205,0.22150
0.5160,1.445745,5.85550,0.55985
0.5170,1.451603,5.85891,0.47551
0.5180,1.457466,5.86227,0.59692
0.5190,1.463331,5.86560,0.47348
0.5200,1.469200,5.86889,0.34824
0.5210,1.475072,5.87213,0.34823
0.5220,1.480948,5.87534,0.47937
0.5230,1.486826,5.87850,0.49243
0.5240,1.492708,5.88163,0.51805
0.5250,1.498593,5.88471,0.50953
0.5260,1.504480,5.88776,0.55109
0.5270,1.510371,5.89076,0.57087
0.5280,1.516265,5.89372,0.54665
0.5290,1.522161,5.89665,0.69730
0.5300,1.528061,5.89953,0.67601
0.5310,1.533963,5.90237,0.63432
0.5320,1.539869,5.90517,0.58949
0.5330,1.545776,5.90794,0.71435
0.5340,1.551687,5.91066,0.53620
0.5350,1.557600,5.91334,0.77306
0.5360,1.563516,5.91598,0.65775
0.5370,1.569435,5.91858,0.75579
0.5380,1.575356,5.92113,0.81530
0.5390,1.581280,5.92365,0.72064
0.5400,1.587206,5.92613,0.62089
0.5410,1.593134,5.92857,0.69005
0.5420,1.599065,5.93096,0.83656
0.5430,1.604999,5.93332,0.92091
0.5440,1.610934,5.93563,0.80780
0.5450,1.616872,5.93791,0.95626
0.5460,1.622812,5.94014,0.90992
0.5470,1.628755,5.94233,0.97531
0.5480,1.634699,5.94449,1.04286
0.5490,1.640646,5.94660,0.98638
0.5500,1.646595,5.94867,0.87492
0.5510,1.652545,5.95070,0.95280
0.5520,1.658498,5.95269,1.06329
0.5530,1.664453,5.95464,1.05326
0.5540,1.670409,5.95654,1.08172
0.5550,1.676368,5.95841,1.17898
0.5560,1.682328,5.96024,1.09228
0.5570,1.688290,5.96202,0.89951
0.5580,1.694254,5.96377,1.21052
0.5590,1.700219,5.96547,1.02952
0.5600,1.706186,5.96713,1.08965
0.5610,1.712155,5.96875,1.14910
0.5620,1.718125,5.97033,1.13803
0.5630,1.724097,5.97187,1.18103
0.5640,1.730070,5.97337,1.29118
0.5650,1.736045,5.97483,1.25286
0.5660,1.742022,5.97625,1.33298
0.5670,1.747999,5.97762,1.42408
0.5680,1.753978,5.97896,1.12035
0.5690,1.759958,5.98025,1.33302
0.5700,1.765940,5.98150,1.21203
0.5710,1.771923,5.98272,1.50175
0.5720,1.777906,5.98389,1.52105
0.5730,1.783891,5.98502,1.35994
0.5740,1.789878,5.98611,1.43623
0.5750,1.795865,5.98715,1.43133
0.5760,1.801853,5.98816,1.53544
0.5770,1.807842,5.98913,1.31330
0.5780,1.813832,5.99005,1.60453
0.5790,1.819823,5.99093,1.57857
0.5800,1.825815,5.99178,1.59650
0.5810,1.831807,5.99258,1.43879
0.5820,1.837801,5.99334,1.54372
0.5830,1.843795,5.99406,1.58741
0.5840,1.849790,5.99474,1.64998
0.5850,1.855785,5.99537,1.59465
0.5860,1.861781,5.99597,1.49622
0.5870,1.867777,5.99653,1.62437
0.5880,1.873774,5.99704,1.56988
0.5890,1.879772,5.99751,1.60100
0.5900,1.885770,5.99794,1.87012
0.5910,1.891768,5.99833,1.49477
0.5920,1.897767,5.99868,1.66342
0.5930,1.903766,5.99899,1.78765
0.5940,1.909765,5.99926,1.90449
0.5950,1.915765,5.99949,1.73551
0.5960,1.921764,5.99967,1.67895
0.5970,1.927764,5.99981,1.92833
0.5980,1.933764,5.99992,1.89712
0.5990,1.939764,5.99998,1.82223
0.6000,1.945764,6.00000,1.77613
0.6010,1.951764,5.99998,2.02128
0.6020,1.957764,5.99992,1.92813
0.6030,1.963764,5.99981,1.96020
0.6040,1.969763,5.99967,1.87014
0.6050,1.975763,5.99949,2.02129
0.6060,1.981762,5.99926,1.92277
0.6070,1.987761,5.99899,2.09348
0.6080,1.993760,5.99868,1.91714
0.6090,1.999758,5.99833,2.05581
0.6100,2.005756,5.99794,2.11278
0.6110,2.011754,5.99751,2.10132
0.6120,2.017751,5.99704,2.02659
0.6130,2.023747,5.99653,2.05098
0.6140,2.029743,5.99597,2.10849
0.6150,2.035739,5.99537,2.00391
0.6160,2.041733,5.99474,2.03072
0.6170,2.047727,5.99406,2.11157
0.6180,2.053721,5.99334,2.11616
0.6190,2.059713,5.99258,2.05787
0.6200,2.065705,5.99178,2.13168
0.6210,2.071696,5.99093,2.20337
0.6220,2.077686,5.99005,2.26403
0.6230,2.083675,5.98913,2.20248
0.6240,2.089663,5.98816,2.22792
0.6250,2.095650,5.98715,2.13015
0.6260,2.101637,5.98611,2.34229
0.6270,2.107622,5.98502,2.19391
0.6280,2.113605,5.98389,2.33052
0.6290,2.119588,5.98272,2.35074
0.6300,2.125570,5.98150,2.48998
0.6310,2.131550,5.98025,2.35732
0.6320,2.137529,5.97896,2.42432
0.6330,2.143507,5.97762,2.27228
0.6340,2.149483,5.97625,2.43927
0.6350,2.155458,5.97483,2.48778
0.6360,2.161431,5.97337,2.28988
0.6370,2.167403,5.97187,2.39177
0.6380,2.173373,5.97033,2.45222
0.6390,2.179342,5.96875,2.49085
0.6400,2.185309,5.96713,2.44828
0.6410,2.191275,5.96547,2.48823
0.6420,2.197238,5.96377,2.47829
0.6430,2.203200,5.96202,2.56004
0.6440,2.209161,5.96024,2.36928
0.6450,2.215119,5.95841,2.52927
0.6460,2.221075,5.95654,2.71058
0.6470,2.227030,5.95464,2.78404
